ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1+StopWordRemoval+Stemming,TASK1,REFERENCE1.TXT,0.39569,0.33434,0.36244,4

ROUGE-2+StopWordRemoval+Stemming,TASK1,REFERENCE1.TXT,0.15034,0.11875,0.13269,4

ROUGE-3+StopWordRemoval+Stemming,TASK1,REFERENCE1.TXT,0.05822,0.04221,0.04894,4

ROUGE-4+StopWordRemoval+Stemming,TASK1,REFERENCE1.TXT,0.03000,0.02027,0.02419,4

ROUGE-L+StopWordRemoval+Stemming,TASK1,REFERENCE1.TXT,0.30699,0.30909,0.30804,4

ROUGE-SU1+StopWordRemoval+Stemming,TASK1,REFERENCE1.TXT,0.27889,0.22853,0.25121,4

ROUGE-SU4+StopWordRemoval+Stemming,TASK1,REFERENCE1.TXT,0.17507,0.12987,0.14912,4

